project,bug_id,split,method,num_test_classes,num_trigger_classes,first_trigger_rank,normalized_first_trigger_rank,detected_at_1pct,detected_at_2pct,detected_at_5pct,detected_at_10pct,detected_at_20pct,detected_at_50pct,detected_at_100pct,reciprocal_rank,apfd,candidate_trigger_in_top200,reranker_input_tokens,reranker_output_tokens,reranker_cost_usd,reranker_wall_ms,patch_truncated,missing_test_source_count,qualified_id,experiment_commit,run_id,available
Cli,13,evaluation,GPT-Nano,45,1,29,0.6444444444444445,false,false,false,false,false,false,true,0.034482758620689655,0.36666666666666664,true,87861.0,853.0,0.01966356475,7628.427272080444,false,0,Cli-13,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,17,evaluation,Random,23,1,12.233,0.5318695652173908,0.033,0.033,0.084,0.121,0.197,0.506,1.0,0.15245059440361447,0.4898695652173916,true,,,0.0,,false,0,Cli-17,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,17,evaluation,BM25,23,1,6,0.2608695652173913,false,false,false,false,false,true,true,0.16666666666666666,0.7608695652173912,true,,,0.0,,false,0,Cli-17,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,17,evaluation,Embedding,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,9888.505844155843,0.0,0.0002086474733116883,203.47094182008215,false,0,Cli-17,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,17,evaluation,Jev,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,43168.0,552.0,0.00191277408,856.5493049682118,false,0,Cli-17,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,17,evaluation,GPT-Nano,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,34806.0,437.0,0.00792035975,3478.127091017086,false,0,Cli-17,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,19,evaluation,Random,23,1,12.341,0.5365652173913042,0.048,0.048,0.088,0.118,0.19,0.505,1.0,0.15914992979698708,0.4851739130434781,true,,,0.0,,false,0,Cli-19,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,19,evaluation,BM25,23,1,4,0.17391304347826086,false,false,false,false,true,true,true,0.25,0.8478260869565217,true,,,0.0,,false,0,Cli-19,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,19,evaluation,Embedding,23,1,1,0.043478260869565216,true,true,true,true,true,true,true,1.0,0.9782608695652174,true,9914.505844155843,0.0,0.00020919607331168832,226.4455315723483,false,0,Cli-19,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,19,evaluation,Jev,23,1,2,0.08695652173913043,false,false,true,true,true,true,true,0.5,0.9347826086956522,true,44363.0,552.0,0.0019657245300000003,777.2265849635005,false,0,Cli-19,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
